nom,nature,adresse,code_postal,commune,the_geom
Collège Sainte-Thérèse,COLLEGE,19 rue François Coquart ,69240,Thizy-les-Bourgs,POINT (4.2999619233936865 46.03437474209746)
Collège Notre-Dame du Bon Conseil,COLLEGE,23 rue de la Camille ,69600,Oullins-Pierre-Bénite,POINT (4.801924593049579 45.71394688780926)
Collège Notre-Dame de Lourdes,COLLEGE,260 rue de la Charrière ,69380,Civrieux-d'Azergues,POINT (4.716048283406815 45.85864567838224)
Collège Notre-Dame,COLLEGE,Montée du couvent Le Bourg ,69870,Claveisolles,POINT (4.491350269949538 46.10157658809829)
Collège les Marronniers,COLLEGE,19 Grande-Rue ,69420,Condrieu,POINT (4.768591616633989 45.46233793072251)
Collège Sainte-Marie,COLLEGE,198 rue Docteur Lheritier ,69470,Cours-la-Ville,POINT (4.3238628817410705 46.10256574780293)
Collège Pierre Termier - Site Montchat,COLLEGE,56 rue Ferdinand Buisson ,69003,Lyon 3e Arrondissement,POINT (4.88847660833571 45.749228778054515)
Collège Saint-Denis,COLLEGE,7 rue Hénon ,69004,Lyon 4e Arrondissement,POINT (4.831564174927937 45.779448459604055)
Collège de l'école Juive de Lyon,COLLEGE,40 rue Alexandre Boutin ,69100,Villeurbanne,POINT (4.868782771327288 45.768340008364206)
Collège Notre-Dame de Bellecombe,COLLEGE,31 rue Germain ,69006,Lyon 6e Arrondissement,POINT (4.866693800079422 45.76525172796419)
Collège Saint-Thomas d'Aquin,COLLEGE,6 chemin du Laud ,69440,Mornant,POINT (4.676748392836833 45.61939548098635)
Collège Saint-Laurent,COLLEGE,16 rue Côte Pinay ,69930,Saint-Laurent-de-Chamousset,POINT (4.464909468207414 45.737613138744045)
Collège Saint-Martin,COLLEGE,23 rue des Cherchères ,69850,Saint-Martin-en-Haut,POINT (4.5582463651390785 45.659227474541055)
Collège Alice Guy,COLLEGE,19 rue Paul Cazeneuve ,69008,Lyon 8e Arrondissement,POINT (4.86503535037878 45.73678337212248)
Collège Notre Dame de Bel Air,COLLEGE,30 avenue Charles de Gaulle BP 120 ,69172,Tarare,POINT (4.433620305043821 45.89782559489158)
Collège Saint-Sébastien,COLLEGE,8 rue du Chardonnet ,69670,Vaugneray,POINT (4.661225591126789 45.73184811197414)
Collège Louis Querbes,COLLEGE,3 rue Jean-Marie Chevalier ,69390,Vourles,POINT (4.773012185600134 45.66001420109819)
Collège Mère Teresa,COLLEGE,37 rue Gervais Bussière ,69100,Villeurbanne,POINT (4.869906491245023 45.773743851297176)
Collège Saint-Viateur,COLLEGE,2 rue du Docteur Bournet ,69550,Amplepuis,POINT (4.330886884137455 45.97156690234243)
Ecole secondaire privée Altéressens,COLLEGE,7 rue Maryse Bastié 69500 BRON,69500,Bron,POINT (4.9222310745406945 45.72695747566866)
Collège Jean Macé,COLLEGE,23 rue Edouard Vaillant ,69100,Villeurbanne,POINT (4.879893934342967 45.77700340250562)
Collège Joliot Curie,COLLEGE,10 rue de la Pagère ,69500,Bron,POINT (4.9145618813352545 45.74816199365469)
